001, Bulbasaur, 231, 134, 134, 166, 166, 126
002, Ivysaur, 261, 160, 162, 196, 196, 156
003, Venusaur, 301, 200, 202, 236, 236, 196
004, Charmander, 219, 140, 122, 156, 136, 166
005, Charmeleon, 257, 164, 152, 196, 166, 196
006, Charizard, 297, 204, 192, 254, 206, 236
007, Squirtle, 229, 132, 166, 136, 164, 122
008, Wartortle, 259, 162, 196, 166, 196, 152
009, Blastoise, 299, 202, 236, 206, 246, 192
010, Caterpie, 231, 96, 106, 76, 76, 126
011, Metapod, 241, 76, 146, 86, 86, 96
012, Butterfree, 261, 126, 136, 216, 196, 176
013, Weedle, 221, 106, 96, 76, 76, 136
014, Kakuna, 231, 86, 136, 86, 86, 106
015, Beedrill, 271, 216, 116, 126, 196, 186
016, Pidgey, 221, 126, 116, 106, 106, 148
017, Pidgeotto, 267, 156, 146, 136, 136, 178
018, Pidgeot, 307, 196, 186, 176, 176, 238
019, Rattata, 201, 148, 106, 86, 106, 180
020, Raticate, 251, 198, 156, 136, 176, 230
021, Spearow, 221, 156, 96, 98, 98, 176 
022, Fearow, 271, 216, 166, 158, 158, 236
023, Ekans, 211, 156, 124, 116, 144, 146
024, Arbok, 261, 226, 174, 166, 194, 196
025, Pikachu, 211, 146, 116, 136, 136, 216
026, Raichu, 261, 216, 146, 216, 196, 256
027, Sandshrew, 241, 186, 206, 76, 96, 116
028, Sandslash, 291, 236, 256, 126, 146, 166
029, Nidoran-F, 251, 130, 140, 116, 116, 118
030, Nidorina, 281, 160, 170, 146, 146, 148
031, Nidoqueen, 321, 220, 210, 186, 206, 188
032, Nidoran-M, 233, 150, 116, 116, 116, 136
033, Nidorino, 263, 180, 150, 146, 146, 166
034, Nidoking, 303, 240, 190, 206, 186, 206
035, Clefairy, 281, 126, 132, 156, 166, 106
036, Clefable, 331, 176, 182, 226, 216, 156
037, Vulpix, 217, 118, 116, 136, 166, 166
038, Ninetales, 287, 188, 186, 198, 236, 236
039, Jigglypuff, 371, 126, 76, 126, 86, 76
040, Wigglytuff, 421, 176, 126, 206, 136, 126
041, Zubat, 221, 126, 106, 96, 116, 146
042, Golbat, 291, 196, 176, 166, 186, 216
043, Oddish, 231, 136, 146, 186, 166, 96
044, Gloom, 261, 166, 176, 206, 186, 116
045, Vileplume, 291, 196, 206, 256, 216, 136
046, Paras, 211, 176, 146, 126, 146, 86
047, Parasect, 261, 226, 196, 156, 196, 96
048, Venonat, 261, 146, 136, 116, 146, 126
049, Venomoth, 281, 166, 156, 216, 186, 216
050, Diglett, 161, 146, 86, 106, 126, 226
051, Dugtrio, 211, 236, 136, 136, 176, 276
052, Meowth, 221, 126, 106, 116, 116, 216
053, Persian, 271, 176, 156, 166, 166, 266
054, Psyduck, 241, 140, 132, 166, 136, 146
055, Golduck, 301, 200, 192, 226, 196, 206
056, Mankey, 221, 196, 106, 106, 126, 176
057, Primeape, 271, 246, 156, 156, 176, 226
058, Growlithe, 251, 176, 126, 176, 136, 156
059, Arcanine, 321, 256, 196, 236, 196, 226
060, Poliwag, 221, 136, 116, 116, 116, 216
061, Poliwhirl, 271, 166, 166, 136, 136, 216
062, Poliwrath, 321, 226, 226, 176, 216, 176
063, Abra, 191, 76, 66, 246, 146, 216
064, Kadabra, 221, 106, 96, 276, 176, 246
065, Alakazam, 251, 136, 126, 306, 226, 276
066, Machop, 281, 196, 136, 106, 106, 106
067, Machoke, 301, 236, 176, 136, 156, 126
068, Machamp, 321, 296, 196, 166, 206, 146
069, Bellsprout, 241, 186, 106, 176, 96, 116
070, Weepinbell, 271, 216, 136, 206, 126, 146
071, Victreebel, 301, 246, 166, 236, 176, 176
072, Tentacool, 221, 116, 106, 136, 236, 176
073, Tentacruel, 301, 176, 166, 196, 276, 236
074, Geodude, 221, 169, 236, 96, 96, 76
075, Graveler, 251, 226, 266, 126, 126, 106
076, Golem, 301, 276, 296, 146, 166, 126
077, Ponyta, 241, 206, 146, 166, 166, 216
078, Rapidash, 271, 236, 176, 176, 196, 246
079, Slowpoke, 321, 166, 166, 116, 116, 66
080, Slowbro, 331, 186, 256, 236, 196, 96
081, Magnemite, 191, 106, 176, 226, 146, 126
082, Magneton, 241, 156, 226, 276, 176, 176
083, Farfetch'd, 245, 216, 146, 152, 160, 156
084, Doduo, 211, 206, 126, 106, 106, 186
085, Dodrio, 261, 256, 176, 156, 156, 256
086, Seel, 271, 126, 146, 126, 176, 126
087, Dewgong, 321, 176, 196, 176, 226, 176
088, Grimer, 301, 196, 136, 116, 136, 86
089, Muk, 351, 246, 186, 166, 236, 136
090, Shellder, 201, 166, 236, 126, 86, 116
091, Cloyster, 241, 226, 396, 206, 126, 176
092, Gastly, 201, 106, 96, 236, 106, 196
093, Haunter, 231, 136, 126, 266, 146, 226
094, Gengar, 261, 166, 156, 296, 186, 256
095, Onix, 211, 126, 356, 96, 126, 176
096, Drowzee, 261, 132, 126, 122, 216, 120
097, Hypno, 311, 182, 176, 182, 266, 170
098, Krabby, 201, 246, 216, 86, 86, 136
099, Kingler, 251, 296, 266, 136, 136, 186
100, Voltorb, 221, 96, 136, 146, 146, 236
101, Electrode, 261, 136, 176, 196, 196, 336
102, Exeggcute, 261, 116, 196, 156, 126, 116
103, Exeggutor, 331, 226, 206, 286, 186, 146
104, Cubone, 241, 136, 226, 116, 136, 106
105, Marowak, 261, 196, 256, 136, 196, 126
106, Hitmonlee, 241, 276, 142, 106, 256, 210
